Title,Director,Year of Release
The Shawshank Redemption,Frank Darabont,1994
The Godfather,Francis Ford Coppola,1972
The Dark Knight,Christopher Nolan,2008
Schindler's List,Steven Spielberg,1993
Pulp Fiction,Quentin Tarantino,1994
Forrest Gump,Robert Zemeckis,1994
Fight Club,David Fincher,1999
Inception,Christopher Nolan,2010
Goodfellas,Martin Scorsese,1990
One Flew Over the Cuckoo's Nest,Milos Forman,1975
Seven Samurai,Akira Kurosawa,1954
The Silence of the Lambs,Jonathan Demme,1991
It's a Wonderful Life,Frank Capra,1946
Life Is Beautiful,Roberto Benigni,1997
Spirited Away,Hayao Miyazaki,2001
Saving Private Ryan,Steven Spielberg,1998
Parasite,Bong Joon-ho,2019
Interstellar,Christopher Nolan,2014
